,S15_NK_CD56dim,S15_NK_CD56bright,S16_NK_CD56dim,S16_NK_CD56bright,S17_NK_CD56dim,S17_NK_CD56bright,S15_Th1,S15_Th2,S15_Th17,S16_Th1,S16_Th2,S16_Th17,S17_Th1,S17_Th2,S17_Th17
CPLX4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
GALR1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
TMEM135,884,418,813,550,721,722,710,611,0,737,363,744,401,230,580
IQCD,30,11,33,3,24,15,6,12,0,14,0,8,17,31,16
NDEL1,2916,2414,2625,3628,2418,3414,2967,4978,2630,6248,4978,6083,4482,4051,3618
CENPV,470,348,403,266,346,484,387,619,0,818,614,397,860,840,463
CDH16,0,0,4,0,20,4,0,0,12,0,0,0,1,0,0
RRAD,108,248,48,495,11,52,21,27,2,16,47,2,13,20,6
FAM96B,2582,1874,1998,1913,2180,2257,2227,3061,2773,3863,3572,3765,4151,3133,4275
CFAP52,0,0,0,0,0,5,0,0,24,0,0,0,0,0,0
HSP90B1,25590,13421,23535,15091,20524,18279,18628,24065,6973,17185,17183,22061,17871,17292,16463
MC4R,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BLCAP,2019,1346,1770,1869,1546,1785,2198,2144,1278,2751,2313,3113,2488,2057,3099
SERPINB12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRFAM7A,0,6,21,12,16,30,0,0,0,0,0,0,0,0,0
ATF7IP2,1729,1570,1225,1105,1154,1361,3194,5935,4252,3554,6519,6383,7050,4850,7601
MMP10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TVP23A,22,10,18,41,30,15,24,44,203,33,57,43,53,10,39
NGFRAP1,40,325,64,205,14,270,846,883,1223,1131,1083,1303,1131,837,1588
TMPRSS5,43,8,10,6,13,28,17,12,393,5,1,16,24,5,23
COG1,1615,1126,1442,1580,1417,1951,1869,1947,57,2493,1406,2029,2235,2567,1807
PLEKHA7,80,0,2,100,0,39,223,67,14,284,207,353,63,67,52
OR5M13P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF606,354,264,230,192,231,345,160,8,2,269,301,139,262,504,174
ZCCHC18,330,184,234,99,171,239,151,92,2,362,119,260,418,124,288
B2M,838450,523794,627240,507167,692630,569337,765477,885154,603966,1108733,987415,1239818,1164351,784118,1169707
ZNF592,1646,963,1205,1249,1303,2021,1792,2322,391,1919,1183,2128,2319,2059,1866
CASC4,2803,1809,3088,2382,2597,3333,4178,2673,364,2696,2345,4112,3029,2472,3364
HTR3A,0,0,0,0,1,0,0,0,11,0,0,1,0,0,0
NNMT,23,19,13,1,24,0,0,22,0,0,0,0,0,5,6
ACSM1,0,19,0,0,7,12,28,18,0,33,2,7,0,25,2
AP1G1,1636,848,1792,1645,2096,1455,2160,2373,3027,2172,1497,2059,4069,1817,2105
AGBL1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SLFN5,2952,2225,2703,2119,2235,3315,4567,3738,5929,3033,3648,5857,6641,4398,4916
CATSPER2,92,9,42,69,47,83,66,147,352,157,35,63,109,124,33
STRCP1,21,1,9,0,9,17,12,3,35,20,0,13,99,0,17
ZNF667.AS1,24,556,65,598,22,444,35,0,3,21,0,28,67,0,8
C16orf45,188,22,213,3,445,46,223,196,522,155,137,150,509,527,468
KIAA0430,1239,775,1106,1035,1359,1039,2822,3013,1803,2041,1105,2535,3649,2563,2419
SAA3P,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAAL1,700,297,601,591,507,421,468,873,1475,1060,725,734,1353,593,896
YPEL4,0,0,9,14,4,20,29,22,422,21,54,59,92,16,18
PPIB,4668,2957,4086,3070,3600,3567,3541,8433,4858,5218,8921,5748,4823,6048,6413
LDHC,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0
FAM96A,1480,1153,838,915,1694,1005,2226,2339,1204,2584,2363,2839,3683,2220,3534
LDHAL6A,36,0,11,0,37,24,1,29,0,13,12,0,20,29,21
FAM111A,3685,1519,2404,1790,2191,2410,3391,2557,1232,2112,1603,2274,2706,1175,1814
KIAA0101,93,21,25,25,57,26,12,0,497,220,14,41,167,12,190
KIF7,110,81,43,3,12,42,0,0,0,0,0,0,0,1,0
LDHD,0,13,9,40,47,16,0,0,0,37,0,17,8,19,3
PLIN1,34,0,16,38,54,19,29,0,2,5,0,1,0,46,0
PEX11A,208,3,57,29,58,19,33,78,0,34,14,19,50,10,23
TMEM170A,1348,923,1243,817,1165,951,1395,1672,1712,1751,1402,1722,2142,1433,1960
MESP1,116,99,44,25,78,37,18,29,228,38,60,18,77,47,54
ANPEP,0,32,0,5,446,0,0,0,907,0,0,0,22,46,0
SCNN1G,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
RBPMS2,191,0,179,0,61,0,0,0,0,0,0,0,3,2,0
NAV2,0,23,4,14,7,10,19,0,3,75,1,1,48,40,7
ANKDD1A,393,111,163,80,140,57,509,296,0,83,30,64,112,71,89
GLYATL1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C18orf54,87,60,17,0,69,74,4,10,26,47,34,29,13,1,41
DCTN5,1397,1128,1454,1048,1192,1225,1529,1959,3485,2040,2272,2469,2621,1502,1704
TERF2IP,9844,6667,8152,7641,8559,8950,11498,10481,8652,15469,9656,17617,16027,12424,14924
PLK1,13,4,3,0,0,5,58,0,0,51,0,16,7,22,27
CLPX,1557,878,1443,1042,1401,1507,1514,1662,1949,1791,1269,1856,2583,2038,2168
GPR182,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ZBTB39,221,128,227,394,252,298,249,64,0,96,209,511,379,443,201
CACNG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAC3,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0
MYO1A,0,0,1,0,1,0,48,0,5,0,1,0,1,68,0
CHP2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NEMP1,175,140,106,94,116,90,160,267,842,254,47,166,350,145,238
OR4D6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAB2,311,278,221,125,249,384,184,240,2,148,115,166,284,137,295
VPS39,3649,1634,3185,2673,2902,3686,4205,3485,735,3780,2339,4155,4599,2735,3242
STAT6,10781,5277,8157,5327,7209,7106,9993,9301,12656,7964,5794,10439,9774,8121,8328
PATL1,454,475,647,493,611,616,837,1227,445,773,455,1135,799,801,1085
XRCC6BP1,168,183,241,184,169,229,410,472,0,506,507,668,388,349,515
ELFN2,0,0,0,0,0,0,6,1,1,0,28,7,0,21,9
STX3,362,198,277,349,338,212,97,12,0,270,66,478,233,346,189
MRPL16,2583,1797,1716,1356,2396,1962,2153,2403,4608,2651,2139,2136,3041,2060,2590
PIP4K2C,4486,1919,3104,2407,3286,3175,2668,2992,312,2022,2671,4112,2352,2638,2997
MTMR10,681,672,866,664,868,1135,606,499,206,635,439,813,1365,1020,860
YWHAB,19544,13776,17783,15572,17061,15537,26464,32496,25670,39216,33930,51647,40173,29445,44611
MIR202HG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C15orf48,1,4,0,2,3,7,10,1,0,2,8,1,8,11,0
SCG5,7,0,10,12,0,0,20,10,0,20,0,49,9,1,67
GREM1,0,0,0,0,0,0,0,0,301,0,0,1,0,0,0
NYAP1,0,0,0,0,0,1,0,0,1,0,0,0,3,11,0
TSC22D4,1464,848,1176,777,1054,1258,1757,2583,1452,1544,1814,2453,1264,1580,2308
MS4A6E,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MS4A7,12,19,0,8,4719,0,0,0,1185,0,10,0,0,11,0
MS4A14,0,0,0,0,262,0,2,0,4,0,0,0,0,0,0
MS4A5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
DIS3L,1678,854,1618,1680,1746,2184,2123,1757,677,1665,812,2533,2266,2033,1877
CCNDBP1,8054,5117,4725,6297,6011,6326,5974,6666,4633,9364,6884,8994,11328,6576,8163
EPB42,42,24,10,24,24,16,45,22,0,41,26,65,58,28,46
TGM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMAD3,1748,594,1662,1403,1711,1291,4594,2719,1469,4013,1650,4036,3575,2063,2882
MS4A8,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0
CCDC178,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
MS4A15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAP1A,44,248,35,483,27,157,75,481,1,379,119,471,40,149,205
RCCD1,132,209,88,121,52,165,240,361,3,330,395,234,203,60,234
AKTIP,728,1005,710,1296,414,1090,1377,1554,1361,1906,1072,1934,1888,1425,1680
MAPRE2,15554,7444,13771,8307,11172,10054,7430,4721,694,7311,3341,8126,7992,4890,7059
EVA1C,729,518,333,483,458,534,592,891,76,392,519,960,555,657,710
TCP10L2,0,0,0,0,0,0,0,0,4,0,0,13,0,0,3
MARS,4969,3094,4336,3698,3485,4468,3877,4315,1094,4144,3595,5227,5148,4870,4042
MBD6,198,139,186,181,197,235,357,605,282,250,302,230,307,216,320
CNPY4,608,330,322,361,241,545,520,758,0,819,1036,837,1183,549,877
PDIA3,28183,12421,22632,12724,20813,16568,12994,20212,10694,14942,16467,19071,17695,14077,17465
NUDT21,1796,1601,1529,1872,2128,2143,2619,3117,2576,2734,2139,3242,3401,2509,3701
NAT16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C15orf43,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
NKX3.1,81,45,0,69,18,65,157,3,0,86,23,63,233,58,50
SGSM1,420,357,491,286,215,316,136,15,29,185,62,136,92,200,119
RP11.93B14.6,0,1,6,8,4,9,13,42,0,14,5,17,0,19,4
DUSP18,149,89,156,86,125,64,313,207,9,174,220,424,297,185,364
TEF,258,71,169,279,264,253,219,313,11,147,591,568,449,280,598
MEI1,4359,1705,2149,1619,1907,1417,3925,6714,8174,5916,5936,6014,5347,4636,5814
B4GALNT2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
PBX3,747,885,648,856,724,1414,896,693,484,915,477,1057,935,634,762
GNGT2,1099,263,1060,114,757,221,35,83,0,70,2,88,60,73,68
PHB,2356,1789,1868,1335,1381,1290,1951,2145,0,3034,2760,3029,2036,1800,2145
SNRPD1,3305,2622,2401,1914,2439,2434,3929,5271,7704,5670,5877,5474,7254,4958,6228
TTC16,893,15,512,63,250,31,406,683,97,242,419,184,519,207,252
SUN5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMD14,12,6,0,31,0,27,0,1,0,0,0,18,0,0,0
PIP5KL1,0,20,1,0,0,0,10,24,0,54,41,21,51,4,37
BPIFB6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM92,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
FAM102A,469,863,439,2001,233,1513,13163,11756,3270,17303,11876,16506,16678,11066,13684
ACSF2,225,43,273,182,150,116,124,273,1,140,169,277,154,91,176
GOLGA2,541,441,386,467,336,407,387,469,2018,347,398,436,562,526,404
TRUB2,1240,754,742,628,721,843,744,924,3621,1180,1350,1495,1172,1274,1382
COQ4,1206,1104,907,1047,472,1096,1144,2185,2702,1440,2313,1687,1923,1528,1744
SLC27A4,370,273,319,243,248,360,227,518,606,368,243,390,433,183,337
LINC00483,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
URM1,2143,1334,1879,1843,1515,1764,1723,2035,695,2822,2675,2877,2850,2175,2319
CERCAM,1349,77,2158,82,960,35,6,0,0,49,87,12,5,0,1
DOLPP1,478,451,301,466,262,382,164,158,62,233,321,755,209,188,538
CCDC103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENDOG,143,98,175,109,101,135,97,177,553,247,328,337,136,215,239
TBC1D21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRRX2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
UGT1A6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C15orf39,1075,723,360,744,875,1279,568,403,0,396,295,316,294,282,400
ISLR2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
SP2,746,524,1006,916,785,923,1236,1299,1346,1557,1028,1626,1330,1231,1089
PRR15L,15,0,0,21,8,0,10,0,0,0,1,0,0,0,0
COQ7,439,494,736,901,516,803,639,827,159,994,1396,940,700,363,927
GPRC5B,0,0,0,1,8,3,28,0,46,27,55,15,58,63,44
CRK,875,658,858,1252,946,1080,1290,971,1240,2136,2133,2503,2777,1410,2252
C16orf92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOLGA6C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXO22,471,334,346,473,373,317,556,429,346,626,417,624,588,348,417
TBC1D2B,1426,1867,1007,3075,1192,3281,2732,2859,649,2975,1795,3407,3747,2965,3198
NOD2,7,650,43,1452,175,1236,450,1152,469,401,893,685,537,475,344
SNX20,2192,1209,2369,2092,2497,2498,3104,3297,1360,3636,3397,6805,4355,2804,5103
LOXHD1,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0
KATNAL2,35,44,6,5,18,6,35,25,4,44,0,31,94,18,19
HDHD2,649,877,557,604,438,529,826,791,16,990,733,1200,611,421,512
ZNF91,3135,1415,1779,632,2298,1564,3853,2347,8583,1868,1363,2021,5334,1264,2418
IGF2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RNF214,687,609,556,730,459,531,1700,1562,2356,1408,1253,1757,1793,1202,1812
CDK12,976,528,677,633,941,829,1166,1497,2961,1053,1033,997,2102,1137,1178
DPEP2,2346,2203,1214,1951,1823,1889,2576,5580,4271,2699,3284,1651,3031,2370,2663
DUS2,907,602,671,875,822,766,452,621,245,841,465,748,965,911,806
POP5,1749,1508,1160,1347,1192,1192,1789,2287,3839,2915,2346,2243,2642,1430,2201
ENGASE,1104,819,774,1534,717,1396,1462,2350,803,2591,1482,1480,3188,2548,1635
RBFOX3,15,8,66,20,39,11,7,35,36,21,16,8,27,53,5
ATP5L,4402,4998,3618,3845,4157,4846,7460,8207,14097,8872,8915,9344,10432,6999,12882
CD3D,603,16,115,311,562,10,18798,18533,32513,23690,19888,22696,28876,15936,29774
TBC1D16,84,76,36,63,44,109,98,136,0,108,19,48,104,82,80
ENTHD2,467,258,364,441,455,583,530,602,213,715,872,758,852,578,745
MYO5B,0,0,0,1,13,16,4,0,0,0,0,0,6,4,0
ART5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ACAA2,4619,3443,3475,2098,2857,2276,1807,2354,1655,2227,2220,2695,1448,1378,1909
STIM1,3228,1355,4449,2356,3830,3294,4219,3622,1485,4072,3173,5896,4825,3396,5479
RRM1,901,379,658,717,813,741,1840,1980,0,2209,2332,3135,2959,2488,3376
OR51E2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
TRIM68,609,260,566,219,387,538,571,541,1,898,210,806,524,564,443
MMP26,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4
AC104389.28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OR51I1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
OR51Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FN3K,48,36,37,21,48,22,37,93,0,32,25,20,91,10,33
PRRT2,0,1,1,24,10,6,31,78,6,40,58,51,24,100,41
ZNF23,64,84,85,86,70,56,85,57,0,154,77,205,150,61,77
IRGQ,192,111,217,579,77,227,217,421,371,253,424,275,170,211,349
ZNF226,1084,567,660,463,646,658,762,789,712,763,797,859,730,626,587
ZNF180,538,143,414,249,469,455,943,883,632,564,744,1242,654,743,843
POM121L3P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP2R3B,305,342,238,346,176,397,684,619,1992,1515,1172,1225,903,584,732
ZNF668,266,150,171,151,257,342,250,190,0,87,144,243,192,120,311
ZNF646,440,65,212,174,168,267,327,163,0,256,237,337,159,472,246
VKORC1,321,173,122,123,196,155,202,334,531,298,350,341,216,229,360
GNG8,0,0,0,2,0,0,3,6,0,7,0,8,0,0,0
LPO,0,52,0,67,0,117,2,0,1,0,36,9,0,1,12
CA4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SMG8,902,448,566,441,1043,1178,972,749,1,992,260,863,1966,1464,1601
LINC00905,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
TPM4,6843,5213,3452,3235,3669,6446,4422,8125,4280,3501,5369,7850,5254,6432,8970
RAB8A,3993,2881,2806,2679,3080,4085,1815,2711,513,2267,2331,3571,2121,2318,2912
GPX4,2575,2499,2005,2914,2976,3723,5583,7098,11549,7919,10754,8099,7654,8637,10301
MIDN,1651,1501,1445,1542,1403,2177,993,976,1217,1139,999,864,620,821,644
JSRP1,3,7,0,4,2,2,8,42,0,39,26,24,18,4,25
FAM129C,1,14,1,31,11,45,0,0,0,2,1,9,1,0,0
KLHL26,291,306,450,435,437,479,478,582,0,686,677,1103,824,906,1292
GATAD2A,3674,2736,3226,2360,2764,3874,3135,3073,1149,2645,2621,3375,2850,3158,3526
NOS2P2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
MVD,7260,3478,4220,3081,3619,3190,1299,1642,836,1669,2232,1891,1759,1665,1811
CDT1,78,67,71,35,77,61,81,45,0,179,104,148,98,147,149
TRAPPC2L,2221,1818,1447,1464,1667,1480,3052,3125,2688,3754,3591,4433,4138,2895,4618
ANKRD11,6462,4602,4556,4949,4720,6793,6236,7362,5978,5841,5231,6846,10448,7165,7773
SPATA33,316,208,205,300,122,193,137,227,148,277,653,400,236,166,262
SGK494,15,3,1,25,26,47,8,42,1,6,5,36,36,34,25
PROCA1,79,89,34,32,68,60,151,189,271,152,203,244,97,200,158
RPL13,13576,26502,12879,24355,10719,29134,64742,88159,124494,77550,104474,76796,77951,72753,94328
ZNF641,409,359,706,501,512,385,659,624,658,489,434,444,738,357,387
LALBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNB3,104,1,54,32,10,0,69,269,3,82,171,138,126,169,142
DHRS13,484,307,362,405,262,490,388,520,857,584,563,620,687,645,593
TP53I13,4274,2947,2672,3666,2397,4053,3297,4177,3184,3927,4234,4273,3699,3796,3522
KMT2D,1535,985,1606,1148,1520,1577,1885,2501,70,1247,1149,1849,2815,2066,1558
CORO6,64,29,97,38,72,12,61,189,1,88,436,193,59,216,223
RHEBL1,918,428,431,255,316,210,154,120,0,194,172,257,156,281,302
TUBA1A,4878,7712,5115,12289,5228,6059,13173,13612,6933,22848,20008,20448,13763,10227,11976
TUBA1C,386,319,130,177,113,255,595,1382,40,287,644,577,309,505,444
ZNF610,5,2,16,16,12,3,65,22,29,45,4,9,94,7,34
ZNF528,673,252,253,251,191,346,310,255,1858,239,95,190,252,127,231
ZNF701,731,494,519,487,584,656,324,369,406,408,628,832,813,355,565
SERTAD3,3835,1730,3418,1392,2014,907,593,724,267,1114,1026,1359,335,509,417
NCKAP5L,371,502,292,416,311,630,379,408,13,321,334,197,575,412,393
RAB4B,1006,547,688,470,571,493,664,778,1933,905,689,810,736,516,722
AQP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPD1,0,2,8,0,0,13,0,10,0,15,0,0,25,0,6
PROSER3,216,243,268,580,265,346,436,809,204,446,587,508,637,449,384
CYP2S1,0,0,0,2,0,0,6,0,0,55,0,66,0,0,0
AXL,42,45,161,344,62,110,14,56,0,399,85,165,119,29,193
NFKBID,584,1170,617,3006,411,1905,401,955,368,793,533,545,448,247,389
TMC4,157,172,200,293,144,227,63,94,1,82,82,128,136,169,203
ANKRD33,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0
LAIR1,3974,3204,4975,3008,4381,3445,1671,1476,0,1334,795,1039,1254,896,1021
TTYH1,7,6,7,15,1,43,4,3,2,3,4,15,59,1,0
LENG8,1124,713,1655,1954,1383,2186,2049,2380,703,2815,2361,2152,3053,2412,2076
CDC42EP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAIR2,2217,5,1248,16,1120,0,126,31,0,767,99,621,1121,319,638
TMEM145,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0
ZNF526,485,142,267,173,342,499,560,495,214,377,345,303,926,455,636
TRAPPC9,1446,955,1793,1748,1245,2043,1467,1519,2304,1833,1333,1953,2361,2002,2052
KIR3DL1,15387,317,9283,240,6196,430,23,0,0,25,0,1,1,8,7
NLRP7,223,166,290,261,124,141,0,0,0,19,0,0,0,0,0
ZNF146,1680,1691,1631,1612,1349,2081,4136,2424,474,2570,1133,3387,3897,2319,2779
ZNF283,77,85,53,4,26,44,181,9,1,136,10,93,104,95,49
PPP1R14A,0,0,0,75,0,3,1,0,0,0,0,0,0,0,0
SPINT2,2,279,4,437,188,1643,2108,2943,2515,3009,3368,2639,2297,2364,2443
C19orf33,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1
YIF1B,1134,715,769,698,669,607,1113,1174,770,1681,1680,1077,1125,1090,1399
DNAAF3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
PSCA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ATCAY,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LY6D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAPK3,1625,863,1047,893,955,1094,1044,1367,196,890,970,1571,928,875,1301
EEF2,9739,11200,10899,12823,8383,18071,32561,45969,28284,30519,36823,38926,34221,34808,47473
TMIGD2,3299,3255,3269,2577,2685,3400,564,18,25,1360,0,521,1306,367,682
CHAF1A,928,576,498,426,507,504,551,681,410,859,339,852,715,686,635
UBXN6,549,374,167,190,318,253,461,844,1745,677,644,407,650,475,799
HDGFRP2,749,808,1030,855,588,1280,1353,1402,191,1532,1798,1899,1287,1081,1894
PLIN4,10,34,41,41,35,27,44,11,1,20,55,26,141,56,40
SEMA6B,0,0,0,0,0,0,8,0,0,1,0,0,0,1,0
ZNF444,419,553,295,491,273,534,887,993,952,1083,800,922,1086,984,970
NXN,30,4,3,4,11,1,12,151,0,0,196,92,24,157,108
FAM57A,104,32,38,29,58,5,22,64,1,92,114,44,5,33,71
GLOD4,3405,2097,2284,2563,2469,2407,3487,4247,1837,4362,4283,6541,5433,4249,4627
MFSD3,479,549,170,571,128,534,442,453,382,403,365,320,225,244,333
GPT,0,7,5,0,2,4,2,1,0,3,6,0,0,0,1
KIFC2,254,116,312,309,258,242,818,971,1136,891,985,1074,736,603,1040
SLC43A2,397,45,489,225,1341,164,62,54,721,147,1,107,230,70,125
RILP,220,181,49,184,160,203,132,148,0,254,174,174,186,151,204
SERPINF2,0,0,2,5,3,16,10,33,0,0,50,4,22,7,0
WDR81,1709,1149,1700,1551,1310,2766,1778,1995,0,1804,1470,2452,2146,2040,2132
SRR,46,97,113,86,66,90,64,99,0,78,136,147,214,139,132
TSR1,952,804,918,774,973,1163,1320,1355,74,1742,1148,1698,1322,1231,1028
TRPV3,303,16,226,0,96,0,1,78,21,2,0,4,1,0,0
HSD11B1L,51,71,59,125,77,92,153,78,796,199,313,180,171,156,164
CYB5D2,374,250,263,246,173,274,414,679,2,415,500,501,571,201,602
GGT6,0,0,0,0,0,0,0,10,14,0,0,0,0,7,1
C19orf48,1874,1286,1802,1961,1179,1950,1801,2339,54,3968,4309,3565,3304,2693,3088
KLK1,2,0,0,0,0,0,1,0,0,0,0,11,0,0,2
KLK4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KLK2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
KLK5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KLK6,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
KLK11,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0
KLK13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF83,1516,1274,1419,2212,1448,2356,1516,1958,1197,2344,2847,1539,3821,1474,1707
KRT80,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
KRT1,0,0,2,0,5,0,10,2570,2,257,15565,142,0,486,12
ACER1,8,128,0,49,0,99,49,99,303,180,159,114,212,25,55
OTUB1,7531,5013,5183,5687,5212,5940,5602,8011,9676,9820,8781,10350,9850,7453,9906
RCOR2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
ANGPTL4,1,8,6,0,0,0,0,35,0,0,4,1,2,5,1
CTD.2550O8.5,0,4,3,5,3,3,1,0,0,6,2,4,3,3,10
CD320,2346,942,1828,1080,951,1014,1357,2428,3016,2248,3157,2558,1515,1782,1785
SPRYD3,2260,773,1828,1283,1512,1623,2832,3270,2121,3468,2644,2995,2256,2596,2633
IGFBP6,6,3,0,3,79,24,16,53,0,28,51,26,29,23,12
SOAT2,0,0,0,0,0,0,252,320,174,67,120,57,0,75,46
ZNF558,528,408,677,587,609,1151,1501,1041,8,749,1124,933,1457,475,643
CABP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDUFV1,8499,6513,6388,8420,5130,9019,5362,7314,7183,8434,9385,7847,8081,6968,7634
CDK2AP2,5783,2692,4092,3185,3362,2704,1653,4512,2696,3046,4131,2730,1493,2391,1922
C3P1,0,0,6,0,1,0,0,0,3,0,0,0,4,0,0
NUDT8,364,463,137,413,262,677,91,178,0,157,222,94,191,181,125
TBX10,4,0,0,1,0,0,3,0,0,0,0,2,1,18,17
CTD.2369P2.10,1,4,0,2,1,15,4,3,0,1,2,5,9,2,8
PRDX2,2851,1534,1956,1246,1402,1420,5055,6893,6473,7117,7393,7732,6662,6558,7069
OR8J3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR5I1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF232,96,67,38,48,52,52,136,56,2,153,150,77,172,34,127
MIS12,1314,758,1424,1355,1034,1253,1601,1920,1392,2015,1357,2077,2045,894,1231
CD300C,371,1157,317,1355,541,736,0,0,0,16,0,0,0,0,0
CD300A,14196,22924,6419,14171,8692,28151,1132,1257,42,1271,1972,1215,1940,2203,616
TEKT1,0,0,3,6,0,0,1,0,0,6,0,0,0,13,7
HID1,1,10,14,144,0,78,442,855,493,457,887,341,379,704,374
ICT1,770,705,460,551,351,610,847,1225,1828,978,1522,1253,1775,1121,1471
ATP5H,1179,969,1114,1047,974,1135,2672,3912,2796,3906,4943,4110,3595,2996,4734
TMEM88,0,8,4,18,2,0,27,55,130,9,2,7,21,4,6
EVPL,5,0,1,0,18,37,40,0,2,1,0,0,0,2,2
SRP68,3326,2301,2777,2625,2655,4417,4164,5087,885,5677,3967,5748,7368,4552,4651
MGAT5B,1,2,0,96,0,12,4,0,0,0,0,12,25,13,25
TMC8,13783,11841,12319,14649,9650,19559,24344,25775,14227,24490,18702,23354,28767,22046,21113
TK1,418,90,220,78,144,258,58,24,1050,434,205,76,266,204,318
TMEM68,577,419,426,439,501,405,363,444,181,423,607,593,713,572,532
CYP7A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11.25K19.1,463,268,317,101,295,182,118,21,662,67,107,184,286,35,181
GSDMA,38,0,0,0,0,1,3,0,2,105,8,109,0,40,14
KRT24,0,0,1,0,0,4,0,2,0,0,0,0,13,0,0
TMEM99,63,100,88,84,148,131,118,181,9,102,112,101,94,220,247
GHDC,855,658,1079,977,604,765,777,722,1605,1095,1034,1072,878,833,1053
ITFG3,936,675,697,873,510,1129,839,960,727,1152,697,828,971,565,803
SOST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRR25,4,5,2,4,0,0,1,6,0,0,0,0,0,1,0
ZNF598,541,514,579,876,502,1332,873,1041,115,1068,790,959,816,1277,1103
RAB26,0,0,25,21,5,13,52,71,2,46,62,53,62,14,118
MLST8,1434,1267,1262,1482,1165,1729,1696,2313,2436,2715,2872,2164,2295,2314,2060
